,City,Cost of Living Score,Safety Score,teleport_city_score
62,Christchurch,5.096,7.584999999999999,60.669729729729724
63,Cincinnati,6.1080000000000005,4.975,56.55027027027029
64,Cleveland,5.595,3.6369999999999996,54.84851351351354
65,Cluj-Napoca,8.794,9.474499999999999,57.53378378378377
66,Cologne,5.606999999999999,6.6295,62.26432432432431
67,Colorado Springs,5.375,5.3774999999999995,55.11527027027028
68,Columbus,5.746000000000001,5.2815,58.759324324324325
69,Copenhagen,3.426,9.1525,68.81594594594596
70,Cork,4.902,8.839500000000001,60.60878378378381
71,Curitiba,8.433,5.9465,46.45472972972971
72,Dallas,6.090999999999999,4.3389999999999995,59.02243243243244
73,Dar es Salaam,8.026,6.1005,33.68337837837837
74,Delhi,9.869,6.4185,47.155135135135126
75,Denver,5.102,5.371,61.413243243243265
76,Des Moines,6.327,6.984,55.92121621621623
77,Detroit,6.032,4.4615,52.3633783783784
78,Doha,6.183,9.486,54.44743243243244
79,Dresden,6.0280000000000005,8.463999999999999,62.21189189189189
80,Dubai,5.49,9.172,60.26243243243243
81,Dublin,4.005000000000001,7.121499999999999,63.60797297297298
82,Dusseldorf,5.1339999999999995,8.166,62.201621621621626
83,Edinburgh,5.114,8.485,66.24905405405406
84,Edmonton,5.522,7.1175000000000015,61.25094594594594
85,Eindhoven,5.125,9.107000000000001,65.95945945945945
86,Eugene,5.021,6.171500000000001,56.758648648648645
87,Florence,4.649,7.9725,54.33608108108109
88,Florianopolis,8.331000000000001,6.5249999999999995,43.69945945945945
89,Fort Collins,0.0,6.935499999999999,53.06662162162162
90,Frankfurt,5.143,6.8375,62.7635135135135
91,Fukuoka,0.0,9.945,55.89324324324324
92,Galway,4.9270000000000005,8.89,60.650000000000006
93,Gdansk,8.126999999999999,8.0405,55.96864864864867
94,Geneva,1.0,8.427,65.81513513513515
95,Gibraltar,0.0,9.337499999999999,25.347027027027032
96,Glasgow,5.623,7.496,61.34108108108107
97,Gothenburg,5.046000000000001,7.296,60.449729729729725
98,Grenoble,4.317,5.8875,53.24459459459461
99,Guadalajara,9.49,6.472000000000001,50.5891891891892
100,Guatemala City,8.175,6.139,41.387162162162156
101,Halifax,4.9430000000000005,7.188500000000001,60.742027027027035
102,Hamburg,4.904,6.4590000000000005,62.92743243243242
103,Hannover,6.000000000000001,7.352500000000002,60.91554054054053
104,Havana,7.607999999999999,8.6335,36.73527027027027
105,Helsinki,4.121,8.674000000000001,65.85716216216217
106,Ho Chi Minh City,8.844000000000001,6.767500000000001,47.595810810810825
107,Hong Kong,4.967,9.3505,64.44351351351352
108,Honolulu,2.867,6.8565000000000005,55.74702702702703
109,Houston,6.162,3.1289999999999996,57.065540540540546
110,Hyderabad,10.0,8.1265,48.69243243243243
111,Indianapolis,5.478,3.968,55.76175675675677
112,Innsbruck,4.732,8.273,58.80743243243243
113,Istanbul,8.787,6.8935,55.19081081081082
114,Jacksonville,5.359,3.8255,50.804864864864875
115,Jakarta,8.471,7.0005,48.56202702702704
116,Johannesburg,7.575000000000001,5.165500000000001,41.291216216216206
117,Kansas City,5.844,4.422500000000001,52.51337837837839
118,Karlsruhe,5.294,6.858,59.9687837837838
119,Kathmandu,9.445,8.5055,47.20864864864864
120,Kiev,9.817,7.2555000000000005,52.16364864864864
121,Kingston,5.937,5.5275,42.05621621621623
122,Knoxville,6.447000000000001,5.1295,48.39648648648649
123,Krakow,8.509,8.521500000000001,57.44851351351352
124,Kuala Lumpur,8.238,5.880999999999999,53.874729729729744
125,Kyoto,0.0,10.0,56.97
126,Lagos,9.098,5.999499999999999,37.1887837837838
127,La Paz,0.0,6.750500000000001,33.88797297297296
128,Las Palmas de Gran Canaria,7.717,9.1545,54.33337837837837
129,Las Vegas,5.7589999999999995,2.385,55.9195945945946
130,Lausanne,1.0,8.032499999999999,65.16905405405407
131,Leeds,5.3629999999999995,7.731,60.44499999999999
132,Leipzig,5.9110000000000005,7.277000000000001,60.78162162162162
133,Lille,5.399000000000001,6.942,52.556216216216214
134,Lima,8.496,5.2905,46.68743243243244
135,Lisbon,7.004000000000001,8.438,63.994054054054025
136,Liverpool,6.02,7.7285,64.59554054054053
137,Ljubljana,6.749000000000001,8.953,60.078648648648645
138,London,3.9400000000000004,7.243500000000001,69.50594594594595
139,Los Angeles,4.556000000000001,5.705,63.426351351351364
140,Louisville,6.358000000000001,3.6175,48.99202702702704
141,Luxembourg,3.411,8.627999999999998,60.42635135135136
142,Lviv,10.0,7.822,50.90554054054054
143,Lyon,4.349,7.134499999999999,60.259324324324325
144,Madison,6.173,7.362000000000001,60.894999999999996
145,Madrid,6.2490000000000006,7.7925,60.51783783783785
146,Malaga,7.375,7.693,60.41837837837837
147,Malmo,5.57,6.598000000000001,59.35351351351353
148,Managua,0.0,7.774500000000001,32.58189189189189
149,Manchester,5.049000000000001,6.7725,60.752702702702685
